Hotelname,reservationno,ArrivalDate,DepartureDate,RoomNights,RoomRevenue,CurrencyCode,Channel,Guest Region,firstname,lastname,Guest Email
Cherry,14232570,8/8/2019 0:00,8/9/2019 0:00,1,5931.74,THB,Direct,China,,Barnes,
Cherry,14321242,8/9/2019 0:00,8/10/2019 0:00,1,5545.02,THB,Direct,China,,Baker,
Cherry,14308935,8/14/2019 0:00,8/15/2019 0:00,1,5545.02,THB,Direct,China,,Parker,
Cherry,13921904,9/30/2019 0:00,10/1/2019 0:00,1,8880.35,THB,Direct,China,,Murray,
Cherry,13921944,9/30/2019 0:00,10/1/2019 0:00,1,8880.35,THB,Direct,China,,Hines,
Cherry,12989813,1/14/2019 0:00,2/8/2019 0:00,4,90606.24,THB,Direct,N/A,,Fletcher,
Cherry,18472487,6/26/2022 0:00,6/27/2022 0:00,1,0,THB,Direct,Thailand,,Rangel,
Cherry,17958643,3/14/2022 0:00,3/15/2022 0:00,1,3815.67,THB,Direct,N/A,,Velez,
Cherry,21507180,10/3/2022 0:00,10/4/2022 0:00,1,0,THB,Direct,Thailand,,Murphy,
Cherry,21507916,10/3/2022 0:00,10/4/2022 0:00,1,0,THB,Direct,Thailand,,Moore,
Cherry,21515050,10/4/2022 0:00,10/5/2022 0:00,1,0,THB,Direct,Thailand,,PhD,
Cherry,21507179,10/3/2022 0:00,10/4/2022 0:00,1,0,THB,Direct,Thailand,,Smith,
Cherry,21507175,10/4/2022 0:00,10/5/2022 0:00,1,0,THB,Direct,Thailand,,Thomas,
Cherry,21507178,10/4/2022 0:00,10/5/2022 0:00,1,0,THB,Direct,Thailand,,Friedman,
Cherry,21514153,10/4/2022 0:00,10/5/2022 0:00,1,0,THB,Direct,Thailand,,Torres,
Cherry,21514156,10/4/2022 0:00,10/5/2022 0:00,1,0,THB,Direct,Thailand,,Zavala,
Cherry,21514157,10/4/2022 0:00,10/5/2022 0:00,1,0,THB,Direct,Thailand,,Martin,
Cherry,17866880,2/22/2022 0:00,2/23/2022 0:00,1,3419.04,THB,Direct,N/A,,Lee,
Cherry,21330378,11/11/2022 0:00,11/13/2022 0:00,2,27850.38,THB,Direct,N/A,,Rodriguez,
Cherry,21051626,8/16/2022 0:00,8/19/2022 0:00,3,5921.82,THB,Direct,N/A,,Schmidt,
Cherry,21170826,8/16/2022 0:00,8/19/2022 0:00,3,3815.67,THB,Direct,N/A,,Matthews,
Cherry,14465001,8/30/2019 0:00,9/1/2019 0:00,2,17167.54,THB,Direct,Asia,,Chung,
Cherry,17958653,3/15/2022 0:00,3/16/2022 0:00,1,3419.04,THB,Direct,N/A,,Garcia,
Cherry,18157130,5/7/2022 0:00,5/12/2022 0:00,6,28938.84,THB,Direct,Asia,,Taylor,
Cherry,21330379,11/11/2022 0:00,11/13/2022 0:00,2,27850.38,THB,Direct,N/A,,Sanchez,
Cherry,18486720,6/24/2022 0:00,6/24/2022 0:00,0,2106.15,THB,Direct,Thailand,Alexis,King,
Cherry,18668585,8/11/2022 0:00,8/14/2022 0:00,3,13974.39,THB,Direct,Asia,Michael,Moore,MichaelDavidson82@att.com
Cherry,13766079,5/10/2019 0:00,5/12/2019 0:00,2,14694.17,THB,Web,Thailand,Jaime,Flynn,
Cherry,14545322,9/23/2019 0:00,9/25/2019 0:00,2,10684.02,THB,Direct,Asia,Mrs.,Williams,Mrs..W61@yandex.com
Cherry,21236546,9/1/2022 0:00,9/5/2022 0:00,4,20514.24,THB,Direct,North America,Heather,Hart,Heather.H@xfinity.com
Cherry,12832458,2/24/2019 0:00,2/27/2019 0:00,3,50093.91,THB,Web,North America,Heather,Hart,Wilson.Diamond@comcast.net
Cherry,13119481,2/6/2019 0:00,2/10/2019 0:00,4,139450.2,THB,Direct,Thailand,Heather,Hart,Williams_Paul@xfinity.com
Cherry,14024030,7/6/2019 0:00,7/8/2019 0:00,2,19897.96,THB,Direct,Thailand,Heather,Hart,Williams_Paul@xfinity.com
Cherry,18059611,4/19/2022 0:00,4/22/2022 0:00,3,23815.09,THB,OTA,Europe,Willie,Sims,Willie_S@yahoo.com
Cherry,14213122,10/10/2019 0:00,10/13/2019 0:00,3,0,THB,Direct,North America,Alex,Brown,Alex.B@zoho.com
Cherry,13875214,5/29/2019 0:00,5/30/2019 0:00,1,7195.43,THB,Direct,Asia,Virginia,,Virginia.H@aol.com
